"","Title","Author","Format","Starts","Price","ISBN","Category","publishedDate","categories","pageCount"
"16649","This Modern Love","Will Darbyshire","Paperback",4,"15.25",9781501154454,"Humour",NA,NA,NA
"16650","Something under the Bed is Drooling","Bill Watterson","Paperback",4.5,"13.91",9780836218251,"Humour","1988","Comics & Graphic Novels",132
"16651","You Are Now Less Dumb","David McRaney","Paperback",4,"13.17",9781592408795,"Humour","2014-08-05","Self-Help",0
"16652","The Complete Peanuts 1959-1960","Charles M. Schulz","Hardback",4.5,"21.26",9781847671493,"Humour","2009","Comics & Graphic Novels",347
"16653","At Knit's End","Stephanie Pearl-McPhee","Paperback",4,"7.57",9781580175890,"Humour",NA,NA,NA
"16654","Knock Knock Bathroom Guest Book","Knock Knock","Hardback",0,"11.12",9781601064523,"Humour",NA,NA,NA
"16655","The Essential Dykes to Watch Out for","Alison Bechdel","Hardback",4.5,"20.11",9780618968800,"Humour",NA,NA,NA
"16656","Game of Thrones: Longclaw Collectible Sword","Running Press","Mixed media product",3.5,"9.05",9780762458219,"Humour","2015-10-20","Fiction",0
"16657","Soonish","Dr. Kelly Weinersmith","Hardback",4,"25.04",9781846148996,"Humour","2017-09-07",NA,368
"16658","Chelsea Chelsea Bang Bang","Chelsea Handler","Paperback",4,"13.97",9780446552431,"Humour","2011-09-13","Humor",256
"16659","William Shakespeare's Tragedy Of The Sith's Revenge","Ian Doescher","Hardback",4,"11.9",9781594748080,"Humour",NA,NA,NA
"16660","Motherfocloir","Darach O'Seaghdha","Hardback",4,"12.47",9781786691866,"Humour","2017","Irish language",0
"16661","Tickling the English","Dara O' Briain","Paperback",3.5,"9.55",9780141046662,"Humour",NA,NA,NA
"16662","Winnie-the-Pooh: Deep Thoughts & Ponderings for the Wise","A. A. Milne","Hardback",4,"7.28",9781405291965,"Humour","2018-11",NA,64
"16663","Speak Italian","Bruno Munari","Paperback",4,"8.55",9780811847742,"Humour","2005-03-03","Foreign Language Study",128
"16664","Moomin Book Four","Tove Jansson","Hardback",4.5,"16.34",9781897299784,"Humour",NA,NA,NA
"16665","The Girl with the Lower Back Tattoo","Amy Schumer","Paperback",3.5,"10.61",9780008172381,"Humour","2017-04","Biography & Autobiography",0
"16666","Why Mummy Swears","Gill Sims","Paperback",4,"8.76",9780008284220,"Humour","2018-12-21",NA,368
"16667","The Good Husband Guide","Ladies' Homemaker Monthly","Board book",3.5,"9.14",9781604330397,"Humour","2009-03-24","Family & Relationships",42
"16668","The Simpsons Futurama Crossover Crisis","Matt Groening","Hardback",4,"22.23",9780810988378,"Humour","2010-04-01","Comics & Graphic Novels",0
"16669","I Judge You When You Use Poor Grammar","Sharon Eliza Nichols","Paperback",3.5,"10.57",9780312533014,"Humour",NA,NA,NA
"16670","Bigger than Hitler - Better than Christ","Rik Mayall","Paperback",3.5,"10.48",9780007207282,"Humour","2006","Biography & Autobiography",31
"16671","The Complete Peanuts 1961-1962","Charles M. Schulz","Hardback",4.5,"21.95",9781847671509,"Humour","2009","Comics & Graphic Novels",345
"16672","The Infinite Monkey Cage - How to Build a Universe","Brian Cox","Hardback",4,"20.82",9780008254957,"Humour","2017-10-19","Cosmology",0
"16673","The Hidden Power of F*cking Up","The Try Guys","Hardback",4,"18.89",9780062879615,"Humour","2019-06-18","Self-Help",288
"16674","Damn You, Autocorrect!","Jillian Madison","Paperback",4,"9.32",9780753540084,"Humour",NA,NA,NA
"16675","Cyanide & Happiness","Kris Wilson","Paperback",4,"11.06",9780061914799,"Humour","2010-01-19","Humor",0
"16676","Walt Disney's Donald Duck","Carl Barks","Hardback",4.5,"23.22",9781606997413,"Humour",NA,NA,NA
"16677","Operation Trumpsformation","Ross O'Carroll-Kelly","Paperback",4.5,"16.5",9780241978016,"Humour","2017-11-21","Fiction",0
"16678","Over the Top","JONATHAN VAN NESS","Hardback",5,"24.96",9780062906373,"Humour","2019-09-24","Biography & Autobiography",304
"16679","Mack The Life","Lee Mack","Paperback",3.5,"11.37",9780552166553,"Humour",NA,NA,NA
"16680","Selp-Helf","Miranda Sings","Hardback",4.5,"17.57",9781501117947,"Humour","2015-07-21","Computers",240
"16681","How it Works: The Sister","Jason Hazeley","Hardback",3.5,"8.62",9780718188702,"Humour",NA,NA,NA
"16682","100 Nasty Women of History","Hannah Jewell","Hardback",4,"22.62",9781473671256,"Humour","2017-11-02","Women",448
"16683","The Brick Bible: The New Testament","Brendan Powell Smith","Paperback",4,"20.06",9781620871720,"Humour",NA,NA,NA
"16684","Everything is Connected","Keri Smith","Paperback",4,"8.66",9780141977447,"Humour","2013","Crafts & Hobbies",52
"16685","Belly Laughs, 10th anniversary edition","Jenny McCarthy","Paperback",3.5,"13.37",9780738217673,"Humour","2014-01-07","Health & Fitness",0
"16686","The Complete Life and Times of Scrooge McDuck Vols. 1-2 Boxed Set","Don Rosa","Hardback",0,"38.05",9781683962540,"Humour",NA,NA,NA
"16687","Diary of a Somebody","Brian Bilston","Hardback",4,"15.37",9781529005547,"Humour","2019-06-13",NA,288
"16688","Theft by Finding","David Sedaris","Hardback",4,"14.85",9780316731362,"Humour",NA,NA,NA
"16689","The Official Dictionary of Sarcasm","James Napoli","Paperback",3.5,"10.82",9781402769528,"Humour",NA,NA,NA
"16690","Little World of Liz Climo 2020 Day-to-Day Calendar","Liz Climo","Calendar",0,"13.23",9781449498177,"Humour",NA,NA,NA
"16691","How To Teach","Phil Beadle","Paperback",4,"22.95",9781845903930,"Humour",NA,NA,NA
"16692","The Seriously Extraordinary Diary of Pig","Emer Stamp","Paperback",4.5,"6.16",9781407159638,"Humour",NA,NA,NA
"16693","The Thick of It: The Missing DoSAC Files","Armando Iannucci","Paperback",4,"8.88",9780571272549,"Humour","2010","Thick of it (Television program)",136
"16694","Bad Gateway","Simon Hanselmann","Hardback",4.5,"23.52",9781683962076,"Humour","2019-07-31","Comics & Graphic Novels",176
"16695","Pocket Coco Chanel Wisdom","Hardie Grant Books","Hardback",3.5,"7.57",9781784881399,"Humour","2018-02-06","Humor",0
"16696","Animal","Sara Pascoe","Paperback",4,"14.84",9780571325221,"Humour","2016-04-21","Feminism",0
"16697","You Took the Last Bus Home","Brian Bilston","Paperback",4.5,"8.68",9781783524921,"Humour","2018-02",NA,256
"16698","The Cartoon History of the Universe II","Larry Gonick","Paperback",4.5,"18.33",9780385420938,"Humour","2001","Humor, World history",326
"16699","May I Have Your Attention Please?","James Corden","Paperback",4,"10.35",9780099560234,"Humour","2012","Comedians",0
"16700","The Diva Rules","Michelle Visage","Hardback",4,"16.4",9781452142326,"Humour",NA,NA,NA
"16701","Baking with Kafka","Tom Gauld","Hardback",4,"14.14",9781786891501,"Humour","2017-09-07",NA,160
"16702","Deer Hunting with Jesus","Joe Bageant","Paperback",4,"14.56",9780307339379,"Humour",NA,NA,NA
"16703","At My Mother's Knee...","Paul O'Grady","Paperback",4,"12.47",9780553819489,"Humour","2009","Biography & Autobiography",484
"16704","Toad Rage","Morris Gleitzman","Paperback",3.5,"6.73",9780375827631,"Humour",NA,NA,NA
"16705","Five Lose Dad in the Garden Centre","Bruno Vincent","Hardback",3.5,"5.5",9781786487551,"Humour",NA,NA,NA
"16706","Shakespeare Insult Generator","Barry Kraft","Hardback",4.5,"9.58",9781452127750,"Humour",NA,NA,NA
"16707","The Best of Wodehouse","P. G. Wodehouse","Hardback",4.5,"20.19",9781841593067,"Humour","2007","FICTION",0
"16708","A Pug's Guide to Dating","Gemma Correll","Hardback",4.5,"10.28",9781909313101,"Humour",NA,NA,NA
"16709","Stuff White People Like","Christian Lander","Paperback",4,"14.0",9780812979916,"Humour",NA,NA,NA
"16710","The Comedy Bible: From Stand-up to Sitcom - The Comedy Writers Ultimate Guide","Carter","Paperback",4,"18.76",9780743201254,"Humour","2001-09-05","Humor",336
"16711","How Did All This Happen?","John Bishop","Paperback",4,"10.67",9780007436149,"Humour","2014-07-01","Comedians",352
"16712","The Irregular at Magic High School, Vol. 12 (light novel)","Tsutomu Satou","Paperback",4.5,"12.14",9781975327200,"Humour",NA,NA,NA
"16713","How to Survive Retirement","Clive Whichelow","Hardback",3,"6.45",9781849531382,"Humour","2011-04-04","Humor",0
"16714","The Complete Life and Times of Scrooge McDuck Volume 1","Don Rosa","Hardback",4.5,"24.03",9781683961741,"Humour","2019","Comics & Graphic Novels",0
"16715","William Shakespeare's The Clone Army Attacketh","Ian Doescher","Hardback",4,"11.92",9781594748073,"Humour",NA,NA,NA
"16716","The Thrilling Adventures of Lovelace and Babbage","Sydney Padua","Paperback",4,"15.09",9780141981536,"Humour","2016-09",NA,320
"16717","Why Mummy Swears","Gill Sims","Hardback",4,"16.09",9780008284213,"Humour","2018-06-18",NA,352
"16718","The Heavy Metal Fun Time Activity Book","Aye Jay Morano","Paperback",4,"9.27",9781550227987,"Humour",NA,NA,NA
"16719","Map Addict","Mike Parker","Paperback",3.5,"11.05",9780007351572,"Humour",NA,NA,NA
"16720","Nichijou Volume 2","Keiichi Arawi","Paperback",4,"9.62",9781942993315,"Humour","2016-05-03","Comics & Graphic Novels",0
"16721","Knock Knock Inconsequential Dilemmas","Knock Knock","Paperback",3.5,"9.85",9781601064868,"Humour","2013-03","Decision making",0
"16722","Sorry Bro!","Ben Phillips Media Limited","Hardback",4.5,"17.75",9781911274049,"Humour",NA,NA,NA
"16723","Alan Partridge: Nomad","Alan Partridge","Paperback",4,"8.77",9781409156710,"Humour",NA,NA,NA
"16724","The Wedding Crashers","Jean Lèturgie","Paperback",3.5,"7.59",9781849183482,"Humour","2017-07-01","Comics & Graphic Novels",48
"16725","The Best of Adam Sharp","Graeme Simsion","Paperback",3,"9.01",9781405918084,"Humour","2017-09",NA,384
"16726","Walt Disney's Uncle Scrooge","Carl Barks","Hardback",4.5,"23.21",9781683960133,"Humour",NA,NA,NA
