"","Title","Author","Format","Starts","Price","ISBN","Category","publishedDate","categories","pageCount"
"1","This is Going to Hurt","Adam Kay","Paperback",4.5,"7.6",9781509858637,"Medical","2018","Biography & Autobiography",279
"2","Thinking, Fast and Slow","Daniel Kahneman","Paperback",4,"11.5",9780141033570,"Medical","2011","Business & Economics",610
"3","When Breath Becomes Air","Paul Kalanithi","Paperback",4.5,"9.05",9781784701994,"Medical","2017-01-03","Biography & Autobiography",260
"4","The Happiness Trap","Russ Harris","Paperback",4,"8.34",9781845298258,"Medical","2008","Acceptance and commitment therapy",0
"5","Man's Search For Meaning","Viktor E. Frankl","Paperback",4.5,"9.66",9781846041242,"Medical","2008","Existential psychotherapy",0
"6","The Man Who Mistook His Wife for a Hat","Oliver Sacks","Paperback",4,"5.92",9780330523622,"Medical","2011","Psychology",0
"7","The 8-week Blood Sugar Diet","Michael Mosley","Paperback",4,"8.85",9781780722405,"Medical","2015","Health & Fitness",0
"8","The Clever Guts Diet","Michael Mosley","Paperback",4,"8.92",9781780723044,"Medical","2017-05-18","Cooking",0
"9","12 Rules for Life","Jordan B. Peterson","Paperback",4,"18.31",9780241351642,"Medical","2018-01-16",NA,448
"10","Being Mortal","Atul Gawande","Paperback",4.5,"9.03",9781846685828,"Medical","2015","Aging",0
"11","Gut","Giulia Enders","Paperback",4,"10.49",9781925228601,"Medical","2016-05","Intestines",272
"12","The Brain That Changes Itself","Norman Doidge","Paperback",4,"11.03",9780141038872,"Medical","2008-08-07","Family & Relationships",460
"13","Medical Medium Liver Rescue","Anthony William","Hardback",4,"23.76",9781401954406,"Medical","2018-10-30","Health & Fitness",0
"14","Wreck This Journal","Keri Smith","Paperback",4,"9.59",9780141976143,"Medical","2013","Games & Activities",0
"15","12 Rules for Life","Jordan B. Peterson","Hardback",4,"20.99",9780241351635,"Medical","2018",NA,448
"16","12 Rules for Life","Jordan B. Peterson","Paperback",4,"10.26",9780141988511,"Medical","2019","Self-Help",0
"17","Gut and Psychology Syndrome","Dr Natasha Campbell-McBride","Paperback",4,"19.48",9780954852023,"Medical","2015-03-03","Health & Fitness",0
"18","Medical Medium Thyroid Healing","Anthony William","Hardback",4,"17.26",9781401948368,"Medical","2017-11-07","Health & Fitness",0
"19","Steal Like an Artist","Austin Kleon","Paperback",4,"8.81",9780761169253,"Medical","2012-02-28","Self-Help",161
"20","Sitting Still Like A Frog","Eline Snel","Paperback",4,"10.4",9781611800586,"Medical","2013-12-03","Family & Relationships",125
"21","How Not To Die","Michael Greger","Paperback",4.5,"10.33",9781509852505,"Medical","2017-12-27","Medical",658
"22","The Whole-Brain Child","Tina Payne Bryson","Paperback",4,"11.23",9781780338378,"Medical","2012-08","Child development",0
"23","Birth Skills","Juju Sundin","Paperback",4,"17.03",9780091922146,"Medical","2008","Family & Relationships",306
"24","Diagnostic and Statistical Manual of Mental Disorders (DSM-5)","American Psychiatric Association","Paperback",4,"95.94",9780890425558,"Medical",NA,NA,NA
"25","Medical Medium Celery Juice","Anthony William","Hardback",4,"14.01",9781401957650,"Medical","2019-05-21","Health & Fitness",0
"26","The Book You Wish Your Parents Had Read (and Your Children Will Be Glad That You Did)","Philippa Perry","Hardback",4,"13.03",9780241250990,"Medical","2019","Child psychology",0
"27","Publication Manual of the American Psychological Association","American Psychological Association","Paperback",3.5,"30.49",9781433805615,"Medical","2010","Language Arts & Disciplines, NULL",372
"28","Proof of Heaven","Dr. Eben Alexander","Paperback",3.5,"13.01",9781451695199,"Medical","2012-10-23","Biography & Autobiography",256
"29","The Immortal Life of Henrietta Lacks","Rebecca Skloot","Paperback",4,"8.48",9780330533447,"Medical","2011","African American women",0
"30","The Complete Guide to Asperger's Syndrome","Tony Attwood","Paperback",4,"20.08",9781843106692,"Medical","2008","Family & Relationships",397
"31","The Checklist Manifesto","Atul Gawande","Paperback",4,"9.04",9781846683145,"Medical","2011","Self-Help",209
"32","Do No Harm","Henry Marsh","Paperback",4,"8.0",9781780225920,"Medical","2014","Biography & Autobiography",0
"33","The Anatomy Coloring Book","Wynn Kapit","Paperback",4,"24.25",9780321832016,"Medical","2014","Games & Activities",0
"34","The Plant Paradox","Steven R. Gundry","Hardback",3.5,"16.53",9780062427137,"Medical","2017-04-25","Health & Fitness",416
"35","Wreck This Journal Everywhere","Keri Smith","Paperback",4,"5.83",9781846148583,"Medical","2014","Games & Activities",0
"36","How to Change Your Mind","Michael Pollan","Paperback",4.5,"10.28",9780141985138,"Medical","2019","History",0
"37","Raising an Emotionally Intelligent Child","John Gottman","Paperback",4,"11.21",9780684838656,"Medical","1998-08-12","Family & Relationships, Family & Relationships",240
"38","Allen Carr's Easy Way to Stop Smoking","Allen Carr","Paperback",4.5,"9.53",9781405923316,"Medical","2015-09-24","Self-Help",0
"39","The Mindful Way through Depression","J. Mark G. Williams","Paperback",4,"17.54",9781593851286,"Medical","2007-06-02","Self-Help, Psychology",289
"40","Call The Midwife","Jennifer Worth","Paperback",4,"7.9",9780753823835,"Medical","2008","Childbirth",0
"41","The Dialectical Behavior Therapy Skills Workbook","Matthew McKay","Paperback",4,"15.49",9781572245136,"Medical","2007","Self-Help, NULL",232
"42","The Reality Slap","Russ Harris","Paperback",4,"7.82",9781780332024,"Medical","2012","Acceptance and commitment therapy",242
"43","The Boy Who Was Raised as a Dog, 3rd Edition","Bruce D. Perry","Paperback",4.5,"13.64",9780465094455,"Medical","2017-08-29","Psychology, Psychology",448
"44","Strength Training Anatomy","Frederic Delavier","Paperback",4.5,"13.83",9780736092265,"Medical","2010","Health & Fitness",192
"45","The Brain That Changes Itself","Norman Doidge","Paperback",4,"15.22",9780143113102,"Medical","2007-12-18","Psychology",0
"46","Lost Ocean","Johanna Basford","Paperback",4.5,"12.39",9780753557150,"Medical","2015-10-22","Art",84
"47","Mating in Captivity","Esther Perel","Paperback",4,"12.37",9780060753641,"Medical","2007-10-30","Psychology",274
"48","This is Going to Hurt","Adam Kay","Hardback",4.5,"12.81",9781509858613,"Medical","2017","C.",0
"49","You Are the Placebo","Joe Dispenza","Paperback",4.5,"14.4",9781781802571,"Medical","2014-04-29","BODY, MIND & SPIRIT",400
"50","Radical Acceptance","Tara Brach","Paperback",4,"13.88",9780553380996,"Medical","2004-11-23","Religion",401
"51","Awakenings","Oliver Sacks","Paperback",4,"6.03",9780330523677,"Medical","2012","Medical",408
"52","Unnatural Causes","Dr Richard Shepherd","Paperback",4.5,"9.45",9781405923538,"Medical","2019-09-24","Biography & Autobiography",0
"53","Oxford Handbook of Clinical Medicine","Ian B. Wilkinson","Paperback",4.5,"36.98",9780199689903,"Medical","2017","Medical",912
"54","DBT Skills Training Manual, Second Edition","Marsha M. Linehan","Paperback",4.5,"41.39",9781462516995,"Medical","2014-10-20","Psychology, Psychology",529
"55","All Cats Have Asperger Syndrome","Kathy Hoopmann","Hardback",4,"13.66",9781843104810,"Medical","2006","Education",0
"56","Becoming Supernatural","Joe Dispenza","Paperback",4.5,"17.8",9781401953119,"Medical","2019-03-05","Body, Mind & Spirit",409
"57","Anatomy Trains","Thomas W. Myers","Paperback",4.5,"51.23",9780702046544,"Medical","2014","Anatomy, Surgical and topographical",0
"58","Hallucinations","Oliver Sacks","Paperback",4,"5.66",9781447208266,"Medical","2013","Literary Collections",0
"59","Loving What Is","Byron Katie","Paperback",4,"13.71",9781400045372,"Medical","2003-12-01","Self-Help",354
"60","An Introductory Guide to Anatomy & Physiology","Louise Tucker","Paperback",4,"23.0",9781903348345,"Medical","2011","Medical",0
"61","The Body Keeps the Score","Bessel van der Kolk","Paperback",4.5,"14.56",9780143127741,"Medical","2015-09-08","Medical",466
"62","The Muscular System Anatomical Chart","Anatomical Chart Company","",4,"12.37",9781587790362,"Medical","2002","Medical",NA
"63","Rewire Your Anxious Brain","Catherine M. Pittman","Paperback",4,"10.14",9781626251137,"Medical","2015","PSYCHOLOGY",0
"64","Shadows Of The Workhouse","Jennifer Worth","Paperback",4,"8.04",9780753825853,"Medical","2009","East End (London, England)",0
"65","Call The Midwife","Jennifer Worth","Paperback",4,"7.89",9780753827871,"Medical","2012","Biography & Autobiography",0
"66","The Emperor of All Maladies","Siddhartha Mukherjee","Paperback",4.5,"13.44",9780007250929,"Medical","2011","Medical",571
"67","Complications","Atul Gawande","Paperback",4.5,"8.99",9781846681325,"Medical",NA,NA,NA
"68","Brain Maker","David Perlmutter","Paperback",4,"13.73",9781473619357,"Medical","2015-05-07",NA,304
"69","The Gift of Therapy","Irvin Yalom","Paperback",4.5,"12.49",9780061719615,"Medical","2009-05-12","Psychology",0
"70","Change Your Thinking","Dr. Sarah Edelman","Paperback",4,"17.29",9781600940521,"Medical","2007-11-16","Psychology",0
"71","You Can Heal Your Life","Louise Hay","Paperback",4,"14.83",9781561706280,"Medical","1999-09-01","Body, Mind & Spirit",0
"72","Gratitude","Oliver Sacks","Hardback",4,"7.82",9781509822805,"Medical","2015","Biography & Autobiography",63
"73","DBT (R) Skills Training Handouts and Worksheets, Second Edition","Marsha M. Linehan","Paperback",4.5,"30.06",9781572307810,"Medical","2014-10-21","Psychology",445
"74","Man's Search for Meaning","Viktor E. Frankl","Paperback",4.5,"11.97",9780807014271,"Medical","2006-06-01","Psychology",168
"75","Don't Shoot the Dog!","Karen Pryor","Paperback",4.5,"8.11",9781860542381,"Medical","2002","Pets",228
"76","The Mindful Self-Compassion Workbook","Kristin Neff","Paperback",4.5,"19.04",9781462526789,"Medical","2018-08-15","Self-Help",217
"77","Self Compassion","Kristin Neff","Paperback",4,"12.79",9781444738179,"Medical","2011","Compassion",0
"78","Trail Guide to the Body","R.  Andrew Biel","Spiral bound",4.5,"71.64",9780982978658,"Medical","2014","Science",492
"79","The Man Who Mistook His Wife for a Hat","Oliver Sacks","Paperback",4,"8.37",9781447275404,"Medical","2015-01-01",NA,300
"80","Hands Of Light","Barbara Ann Brennan","Paperback",4.5,"20.44",9780553345391,"Medical","1988-05-01","Body, Mind & Spirit",330
"81","The Drama of the Gifted Child","Alice Miller","Paperback",4,"10.84",9780465016907,"Medical","1997","Psychology",136
"82","Taking Charge of Your Fertility","Toni Weschler","Paperback",4.5,"21.9",9780062326034,"Medical","2015-07-07","Health & Fitness",560
"83","When Breath Becomes Air","Paul Kalanithi","Paperback",4.5,"7.54",9781529110944,"Medical","2018-12-31","Biography & Autobiography",0
"84","It Didn't Start with You","Mark Wolynn","Paperback",3.5,"13.18",9781101980385,"Medical","2017-04-25","Psychology",289
"85","Trauma and Recovery","Judith Herman","Paperback",4.5,"11.84",9780465061716,"Medical","2015-07-07","Psychology",336
"86","Love's Executioner","Irvin D. Yalom","Paperback",4,"9.6",9780141975443,"Medical","2013","Literary Collections",0
"87","The Complete Ketogenic Diet for Beginners","Amy Ramos","Paperback",4,"11.08",9781623158088,"Medical","2016-12-20","Cooking",299
"88","The Compassionate Mind","Paul Gilbert","Paperback",4,"13.42",9781849010986,"Medical","2019-10-22","Self-Help",624
"89","I Had a Black Dog","Matthew Johnstone","Paperback",4.5,"6.8",9781845295899,"Medical","2007","Depressed persons",0
"90","The End of Alzheimer's","Dale E. Bredesen","Paperback",4.5,"15.49",9781785041228,"Medical","2017-08-22","Alzheimer's disease",320
"91","The Secret Language of Color Cards","Inna Segal","Paperback",4.5,"10.1",9781582703268,"Medical","2011-10-11","Body, Mind & Spirit",0
"92","The China Study: Revised and Expanded Edition","T. Colin Campbell","Paperback",4,"15.58",9781941631560,"Medical","2016-12-27","Health & Fitness, Diet in disease",492
"93","Immortal Life of Henrietta Lacks","Rebecca Skloot","Paperback",4,"8.82",9780307888440,"Medical","2011-02","Medical",460
"94","Cognitive Behavior Therapy, Second Edition","Judith S. Beck","Hardback",4,"30.95",9781609185046,"Medical","2011-07-13","Psychology, Psychology",0
"95","Smart but Scattered","Peg Dawson","Paperback",4,"12.94",9781593854454,"Medical","2009-01-01","Psychology",322
"96","Better","Atul Gawande","Paperback",4,"8.99",9781861976574,"Medical","2008","Clinical medicine",288
"97","The Complete Low-Fodmap Diet","Sue Shepherd","Paperback",4,"15.7",9781615190805,"Medical","2013-08-13","Health & Fitness",289
"98","Farewell To The East End","Jennifer Worth","Paperback",4.5,"7.76",9780753823064,"Medical","2009","Childbirth",336
"99","The Epigenetics Revolution","Nessa Carey","Paperback",4,"6.21",9781848313477,"Medical","2012","Science",0
"100","Maps of Meaning","Jordan B. Peterson","Paperback",4,"49.85",9780415922227,"Medical",NA,NA,NA
"101","A Mind of Your Own","Kelly Brogan","Paperback",4,"12.76",9780008128005,"Medical","2016","Depression in women",0
"102","The Gene","Siddhartha Mukherjee","Paperback",4.5,"12.59",9780099584575,"Medical","2017","Health & Fitness",0
"103","Many Lives, Many Masters","Brian L. Weiss","Paperback",4,"11.03",9780671657864,"Medical","1988-07-15","Medical",224
"104","Musicophilia","Oliver Sacks","Paperback",4,"9.43",9780330523592,"Medical","2011","Medical",425
"105","The How Not To Die Cookbook","Michael Greger","Paperback",4,"16.29",9781529010817,"Medical","2018","Cooking",0
"106","Breaking the vicious cycle, Intestinal health through diet","Elaine Gottscha","Paperback",4,"22.3",9780969276814,"Medical","1994","Cooking",214
"107","Highly Sensitive Child","Elaine N. Aron","Paperback",4,"12.92",9780767908726,"Medical","2002","Family & Relationships",356
"108","The 4 Pillar Plan","Dr. Rangan Chatterjee","Paperback",4.5,"18.77",9780241303559,"Medical","2017-12-28","Cooking",0
"109","Into the Magic Shop","Dr. James R. Doty","Paperback",4,"12.47",9781444786187,"Medical","2016-02-09","Medical",0
"110","Schema Therapy","Jeffrey E. Young","Paperback",4.5,"34.25",9781593853723,"Medical","2006-11-01","Psychology",449
"111","The Body Remembers","Babette Rothschild","Hardback",4.5,"28.58",9780393703276,"Medical","2000-10-17","Health & Fitness, Psychology",209
"112","The Undiscovered Self","C G Jung","Paperback",4,"6.38",9780451217325,"Medical","2006-02-07","Psychology",0
"113","Desk Reference to the Diagnostic Criteria from DSM-5","American Psychiatric Association","Paperback",4,"55.56",9780890425565,"Medical",NA,NA,NA
"114","When My Worries Get Too Big!","Kari Dunn Buron","Paperback",4,"12.74",9781937473808,"Medical","2013","Anxiety in children",0
"115","Mind Over Mood, Second Edition","Dennis Greenberger","Paperback",4,"21.35",9781462520428,"Medical","2015-10-15","Self-Help",367
"116","ACT Made Simple","Russ Harris","Paperback",4.5,"30.5",9781684033010,"Medical","2019","MEDICAL",0
"117","Dibs in Search of Self","Virginia M. Axline","Paperback",4,"6.72",9780345339256,"Medical","1986-06-12","Psychology",228
"118","We Should All Be Feminists","Chimamanda Ngozi Adichie","Paperback",4.5,"6.98",9781101911761,"Medical","2015-02-03","Social Science",0
"119","The Heal Your Gut Cookbook","Hillary Boynton","Paperback",4,"21.43",9781603585613,"Medical","2014-08-27","Cooking",322
"120","On Becoming a Person","Carl Rogers","Paperback",4,"11.16",9781845290573,"Medical","2003-04-20","Psychology",420
"121","Ayurveda, the Science of Self-healing: A Practical Guide","Vasant Lad","Paperback",4,"10.02",9780914955009,"Medical","1984","Health & Fitness",180
"122","The Mindful Path to Self-Compassion","Christopher Germer","Paperback",4,"15.41",9781593859756,"Medical","2009-04-29","Psychology",321
"123","Mindsight","Daniel J Siegel","Paperback",4,"13.8",9780553386394,"Medical","2010-12-28","Body, Mind & Spirit",338
"124","With the Old Breed","E B Sledge","Paperback",4.5,"8.72",9780891419198,"Medical","2007-09-25","History",402
"125","Get Out of Your Mind and into Your Life","Steven C. Hayes","Paperback",4,"15.42",9781572244252,"Medical","2005","Self-Help",206
"126","Sweet Poison","David Gillespie","Paperback",4,"8.82",9780718179076,"Medical","2013","Food",0
"127","When the Body Says No","Gabor Mate","Paperback",4.5,"15.82",9780470923351,"Medical","2011-01-05","Health & Fitness",322
"128","Listening to the Animals: Becoming The Supervet","Noel Fitzpatrick","Hardback",4.5,"17.34",9781409183747,"Medical","2018-10-18","Human-animal relationships",384
"129","Dmt : the Spririt Molecule","Rick Strassman M D","Paperback",4,"14.0",9780892819270,"Medical",NA,NA,NA
"130","Art Therapy Sourcebook","Cathy Malchiodi","Paperback",4,"17.09",9780071468275,"Medical","2006-08-30","Health & Fitness",288
"131","The Skeletal System Anatomical Chart","Anatomical Chart Company","",0,"12.39",9781587790638,"Medical","2000-01-28",NA,0
"132","Intuitive Eating","Evelyn Tribole","Paperback",4,"10.62",9781250004048,"Medical","2012-08-07","Health & Fitness",370
"133","Spiritual Midwifery","Ina May Gaskin","Paperback",4.5,"18.48",9781570671043,"Medical","2002","Medical",402
"134","Marshall & Ruedy's On Call: Principles & Protocols","Anthony F. T. Brown","Paperback",4.5,"55.74",9780729542623,"Medical","2016-10-13","Communication in emergency medicine",648
"135","Anatomy of Movement","Blandine Calais-Germain","Paperback",4,"30.34",9780939616572,"Medical","2007","Medical",334
"136","Civilization and Its Discontents","Sigmund Freud","Paperback",4,"4.95",9780141018997,"Medical","2005-02-01","Philosophy",0
"137","Get into Medical School - 1250 UKCAT Practice Questions. Includes Full Mock Exam","Olivier Picard","Paperback",4,"25.27",9781905812264,"Medical","2017","Medical colleges",768
"138","The Gift Of Therapy","Irvin D. Yalom","Paperback",4.5,"8.9",9780749923730,"Medical","2010","Physician-patient relations",263
"139","Mary Sheridan's From Birth to Five Years: Children's Developmental Progress","Ajay Sharma","Paperback",4,"24.27",9780415833547,"Medical","2014","Education",132
"140","Brain Rules (Updated and Expanded)","John Medina","Paperback",4,"12.92",9780983263371,"Medical","2014","MEDICAL, NULL",0
"141","Food Rules","Michael Pollan","Paperback",4,"10.59",9780143116387,"Medical","2009-12-29","Health & Fitness",162
"142","Nutrient Power","William J. Walsh","Paperback",4,"14.33",9781626361287,"Medical","2014-05-06","Health & Fitness",225
"143","Wheat Belly","William Davis","Hardback",3.5,"18.89",9781609611545,"Medical","2011-08-30","Health & Fitness",306
"144","Motivational Interviewing, Third Edition","William R. Miller","Hardback",4,"48.2",9781609182274,"Medical","2012-09-01","Psychology",497
"145","An Anthropologist on Mars","Oliver Sacks","Paperback",4,"5.86",9780330523608,"Medical","2012","Autism",318
"146","Girls Only! All About Periods and Growing-Up Stuff","Victoria Parker","Paperback",4,"5.64",9780340878286,"Medical","2004","Adolescence",112
"147","How to Eat Better","James Wong","Hardback",4.5,"18.61",9781784721916,"Medical","2017-06-13","Cooking (Natural foods)",0
"148","Hashimoto's Protocol","Izabella Wentz","Hardback",4,"16.63",9780062571298,"Medical","2017-03-28","Health & Fitness",0
"149","Talley and O'Connor's Clinical Examination - 2-Volume Set","Professor Nicholas J. Talley","Paperback",4,"91.92",9780729542593,"Medical","2017-08-29","Australian Authors/Content",0
"150","The Wahls Protocol","Terry Wahls","Paperback",4,"14.87",9781583335543,"Medical","2014-12-30","Health & Fitness",562
"151","The How Not To Die Cookbook","Michael Greger","Hardback",4,"24.08",9781509844333,"Medical","2017-12-27","Cooking",249
"152","Pilates Anatomy","Rael Isacowitz","Paperback",4.5,"17.1",9780736083867,"Medical","2011","Education",204
"153","Quiet the Mind","Matthew Johnstone","Paperback",4.5,"7.71",9781780331188,"Medical","2012","Meditation",0
"154","Your Body, Your Yoga","Bernie Clark","Paperback",4.5,"20.3",9780968766538,"Medical","2016-04","Health & Fitness",325
"155","Medical Interviews - a Comprehensive Guide to Ct, St and Registrar Interview Skills","Olivier Picard","Paperback",0,"39.28",9781905812172,"Medical","2013","Employment interviewing",360
"156","Radical Remission","Kelly A. Turner","Paperback",4.5,"13.3",9780062268747,"Medical","2015-09-15","Health & Fitness",336
"157","The Immortal Life of Henrietta Lacks","Rebecca Skloot","Paperback",4,"13.82",9781400052189,"Medical","2011-03-08","Science",402
"158","The Crystal Bible Volume 2","Judy Hall","Paperback",4.5,"13.76",9781841813509,"Medical","2009","Crystals",0
"159","Start Where You Are","Meera Lee Patel","Paperback",4.5,"10.51",9781846149191,"Medical","2016-03-31","Self-Help",0
"160","Birth Skills","Juju Sundin","Paperback",4,"26.59",9781741750973,"Medical","2008-09","Health & Fitness",271
"161","The Clever Guts Diet","Michael Mosley","Paperback",4,"22.7",9781925596038,"Medical","2017-06","Cooking (Natural foods)",288
"162","Dirty Genes","Ben Lynch","Hardback",4,"15.35",9780062698148,"Medical","2018-01-30","Health & Fitness",0
"163","Adult Children of Emotionally Immature Parents","Lindsay C. Gibson","Paperback",4.5,"15.65",9781626251700,"Medical","2015","Adult children of dysfunctional families",0
"164","Genius Foods","Max Lugavere","Hardback",4,"15.35",9780062562852,"Medical","2018-03-20","Health & Fitness",400
"165","Theory and Practice of Group Psychotherapy, Fifth Edition","Irvin D. Yalom","Hardback",4,"46.42",9780465092840,"Medical","2005-07-06","Psychology",688
"166","Good Calories, Bad Calories","Gary Taubes","Paperback",4,"14.38",9781400033461,"Medical","2008-09-23","Health & Fitness",641
"167","Havard's Nursing Guide to Drugs","Adriana P. Tiziani","Paperback",5,"51.81",9780729542548,"Medical","2017-08",NA,1352
"168","Hypnobirthing","Marie F. Mongan","Paperback",3.5,"17.3",9780757318375,"Medical","2015-12-08","Family & Relationships",338
"169","The Continuum Concept","Jean Liedloff","Paperback",4,"7.95",9780140192452,"Medical","2004-01-29","Social Science",0
"170","BSAVA Textbook of Veterinary Nursing","Tim Greet","Paperback",4.5,"89.23",9781905319268,"Medical","2011-12-12","Medical",0
"171","Trigger Point Therapy Workbook","Clair Davies","Paperback",4.5,"19.85",9781608824946,"Medical","2013","HEALTH & FITNESS",0
"172","Your Body's Many Cries for Water","F. Batmanghelidj","Paperback",4,"12.86",9780970245885,"Medical","2008","Dehydration (Physiology)",0
"173","The Autoimmune Solution","Amy Myers","Hardback",4,"24.58",9780062347473,"Medical","2015-01-27","Health & Fitness",0
"174","Healing the Fragmented Selves of Trauma Survivors","Janina Fisher","Paperback",4.5,"32.51",9780415708234,"Medical","2017","Attachment behavior",0
"175","Being Mortal","Atul Gawande","Paperback",4.5,"13.25",9781250076229,"Medical","2017-09-05","Family & Relationships",0
"176","Creative Ways to Help Children Manage BIG Feelings","Fiona Zandt","Paperback",4,"24.47",9781785920745,"Medical","2017","Child psychotherapy",200
"177","Mycelium Running","Paul Stamets","Paperback",4.5,"21.92",9781580085793,"Medical","2005-10-01","Nature",362
"178","The Beauty Detox Solution","Kimberly Snyder","Paperback",4,"14.7",9780373892327,"Medical","2011-03-29","Health & Fitness",272
"179","Eat to Beat Disease","William Li","Paperback",4,"18.8",9781785042157,"Medical","2019-03-19","Diet therapy",512
"180","Nutrition and Physical Degeneration","Weston Price","Paperback",4.5,"21.92",9781849027700,"Medical","2010","Civilization",418
"181","Sensorimotor Psychotherapy","Pat Ogden","Hardback",4.5,"39.22",9780393706130,"Medical","2015-03-03","Psychology",0
"182","Johanna's Christmas","Johanna Basford","Paperback",4.5,"13.28",9780753557563,"Medical","2016","Art",84
"183","Mindsight","Daniel Siegel","Paperback",4,"12.27",9781851687930,"Medical","2011-04-01","Self-Help",0
"184","Put Your Heart in Your Mouth","Dr Natasha Campbell-McBride","Paperback",4.5,"10.97",9780954852016,"Medical","2016-02-23","Health & Fitness, Health & Fitness",0
"185","The Eye Of The World","Robert Jordan","Paperback",4,"10.73",9780356503820,"Medical","2002","Adventure stories",0
"186","Ayurveda","Sahara Rose Ketabi","Paperback",4.5,"15.59",9781465462763,"Medical","2017-08-08","Health & Fitness",0
"187","8 Keys to Safe Trauma Recovery","Babette Rothschild","Paperback",4.5,"16.42",9780393706055,"Medical","2009-12-22","Psychology",188
"188","The Sweet Poison Quit Plan","David Gillespie","Paperback",4,"9.02",9780718179045,"Medical","2013-09-26","Sugar-free diet",0
"189","Oxford Handbook of Anaesthesia","Keith G. Allman","Paperback",4.5,"54.7",9780198719410,"Medical","2016","Medical",1295
"190","The Shallows","Nicholas Carr","Paperback",4,"11.55",9780393339758,"Medical","2011-06-06","Science",304
"191","Body Positive Power","Megan Jayne Crabbe","Paperback",4.5,"12.91",9781785041327,"Medical","2017-09-07","Body image",0
"192","Owning it: Your Bullsh*t-Free Guide to Living with Anxiety","Caroline Foran","Hardback",4,"11.18",9781473657601,"Medical","2017-11-07","Self-Help",0
"193","Change Your Thinking with CBT","Dr. Sarah Edelman","Paperback",4,"18.37",9780091906955,"Medical","2006","Family & Relationships",57
"194","Metaphysical Anatomy","Evette Rose","Paperback",4.5,"47.69",9781482315820,"Medical","2013","Mind and body",0
"195","The Human Brain Coloring Book","Diamond Books","Paperback",4.5,"17.88",9780064603065,"Medical",NA,NA,NA
"196","The Telomere Effect","Elizabeth Blackburn","Paperback",3.5,"8.75",9781780229034,"Medical","2018-01-11","Health & Fitness",0
"197","West's Respiratory Physiology","John B. West","Paperback",4,"35.24",9781496310118,"Medical","2015","Respiration, Respiration",0
"198","When Breath Becomes Air","Paul Kalanithi","Hardback",4.5,"17.41",9780812988406,"Medical","2016-01-12","Biography & Autobiography",258
"199","The Autoimmune Solution","Amy Myers","Paperback",4,"10.11",9780062347480,"Medical","2017-05-02","Health & Fitness",0
"200","The Body Keeps the Score","Bessel van der Kolk","Hardback",4.5,"23.39",9780670785933,"Medical","2014-09-25","Psychology",465
"201","Living with a Black Dog","Matthew Johnstone","Paperback",4.5,"7.99",9781845297435,"Medical","2009","Caregivers",0
"202","Owning Your Own Shadow","Robert A. Johnson","Paperback",4,"10.43",9780062507549,"Medical","1993-03-05","Self-Help",131
"203","Wreck This Journal (Paper Bag)","Keri Smith","Paperback",4,"12.68",9780399162718,"Medical","2012-08-07","Crafts & Hobbies",226
"204","Dr Bernstein's Diabetes Solution","Dr. Richard K. Bernstein","Hardback",4,"21.41",9780316182690,"Medical","2011-11-01","Health & Fitness",0
"205","Robbins & Cotran Pathologic Basis of Disease","Vinay Kumar","Hardback",4.5,"81.04",9781455726134,"Medical","2014","Medical",1391
"206","Accessing the Healing Power of the Vagus Nerve","Stanley Rosenberg","Paperback",4,"19.44",9781623170240,"Medical","2017-12-05","Health & Fitness",297
"207","How to Starve Cancer","Jane McLelland","Paperback",4.5,"20.04",9780951951736,"Medical","2018-07-08","Cancer",404
"208","The Handbook of Child and Adolescent Clinical Psychology","Alan Carr","Paperback",4,"69.32",9781138806139,"Medical","2015-12-14","Psychology",1043
"209","The Mindful Way Workbook","John D. Teasdale","Paperback",4,"20.3",9781462508143,"Medical","2014-01-02","Psychology",242
"210","Mindfulness for Health","Dr. Danny Penman","Paperback",4,"12.12",9780749959241,"Medical","2013","Health & Fitness",268
"211","The Female Brain","Louann Brizendine","Paperback",4,"10.2",9780553818499,"Medical","2008-01-02","Medical",355
"212","Health Through God's Pharmacy","Maria Treben","Paperback",4.5,"14.35",9783850687737,"Medical","2007","Botany, Medical",0
"213","Confessions of a Sociopath","M. E. Thomas","Paperback",3,"8.31",9781447242734,"Medical","2014-07-03","Biography & Autobiography",0
"214","Potter & Perry's Fundamentals of Nursing - Australian Version - 5th Edition. Print Book & E-Book","Douglas","Hardback",0,"91.74",9780729542364,"Medical","2016-09-27","Nursing",1556
"215","Healing Back Pain (Reissue Edition)","John E. Sarno","Paperback",4,"7.32",9781538712610,"Medical","2018-02-27","Health & Fitness",0
"216","Overcoming Binge Eating, Second Edition","Christopher G. Fairburn","Paperback",4,"14.41",9781572305618,"Medical","2013-07-12","Self-Help",256
"217","Magical Jungle","Johanna Basford","Paperback",4.5,"14.12",9780753557167,"Medical",NA,NA,NA
"218","Without Conscience","Robert D. Hare","Paperback",4,"14.78",9781572304512,"Medical",NA,NA,NA
"219","Women's Bodies, Women's Wisdom","Christiane Northrup","Paperback",4.5,"20.19",9780553386738,"Medical","2010","Generative organs, Female",0
"220","The Happiness Trap Pocketbook","Russ Harris","Paperback",4,"7.98",9781472111821,"Medical","2014-01-16","Happiness",176
"221","Descartes' Error","Antonio Damasio","Paperback",4,"6.85",9780099501640,"Medical",NA,NA,NA
